fecha,ciudad,categoría,unidades,precio_unit
2025-01-05,Barcelona,Calzado,2,88.06
2025-01-05,Barcelona,Accesorios,2,53.47
2025-01-05,Valencia,Ropa,4,61.89
2025-01-05,Madrid,Calzado,3,115.34
2025-01-05,Madrid,Calzado,2,83.16
2025-01-05,Barcelona,Ropa,2,60.77
2025-01-05,Valencia,Calzado,1,110.73
2025-01-05,Madrid,Calzado,2,103.04
2025-01-05,Barcelona,Calzado,3,52.79
2025-01-05,Barcelona,Ropa,4,78.15
2025-01-05,Barcelona,Ropa,2,33.15
2025-01-05,Madrid,Ropa,3,48.27
2025-01-05,Barcelona,Calzado,3,105.54
2025-01-05,Madrid,Accesorios,1,26.42
2025-01-05,Madrid,Ropa,4,35.37
2025-01-06,Valencia,Accesorios,4,58.45
2025-01-06,Barcelona,Calzado,2,88.94
2025-01-06,Madrid,Ropa,3,45.22
2025-01-06,Valencia,Calzado,1,55.0
2025-01-06,Barcelona,Calzado,3,32.78
2025-01-06,Madrid,Ropa,2,77.48
2025-01-06,Valencia,Ropa,1,60.74
2025-01-06,Valencia,Ropa,3,86.43
2025-01-06,Barcelona,Calzado,4,63.94
2025-01-06,Madrid,Calzado,2,49.58
2025-01-06,Madrid,Ropa,4,29.41
2025-01-06,Barcelona,Calzado,4,34.48
2025-01-06,Barcelona,Calzado,2,100.26
2025-01-06,Barcelona,Ropa,3,86.02
2025-01-06,Valencia,Calzado,1,70.92
2025-01-06,Bilbao,Calzado,2,68.64
2025-01-06,Madrid,Calzado,4,82.28
2025-01-06,Madrid,Calzado,3,102.46
2025-01-06,Valencia,Ropa,3,62.59
2025-01-06,Madrid,Calzado,2,89.7
2025-01-06,Valencia,Accesorios,1,51.81
2025-01-06,Bilbao,Ropa,4,28.81
2025-01-06,Barcelona,Ropa,3,78.45
2025-01-06,Barcelona,Calzado,3,71.26
2025-01-07,Barcelona,Calzado,3,53.17
2025-01-07,Bilbao,Accesorios,1,36.4
2025-01-07,Madrid,Calzado,3,48.13
2025-01-07,Valencia,Ropa,4,16.09
2025-01-07,Valencia,Calzado,1,66.75
2025-01-07,Madrid,Accesorios,1,50.62
2025-01-07,Barcelona,Ropa,1,89.21
2025-01-07,Madrid,Calzado,3,62.3
2025-01-07,Valencia,Ropa,3,40.31
2025-01-07,Madrid,Calzado,4,64.24
2025-01-07,Madrid,Calzado,2,55.04
2025-01-07,Madrid,Ropa,4,64.7
2025-01-07,Valencia,Calzado,4,102.12
2025-01-07,Madrid,Calzado,1,48.76
2025-01-07,Barcelona,Ropa,3,72.57
2025-01-07,Barcelona,Calzado,1,72.47
2025-01-07,Barcelona,Ropa,1,26.82
2025-01-07,Valencia,Accesorios,1,56.46
2025-01-07,Barcelona,Ropa,1,85.38
2025-01-07,Valencia,Calzado,1,86.3
2025-01-07,Madrid,Ropa,2,88.89
2025-01-07,Madrid,Accesorios,3,36.32
2025-01-07,Valencia,Ropa,3,50.36
2025-01-08,Madrid,Calzado,4,40.05
2025-01-08,Barcelona,Calzado,4,58.96
2025-01-08,Barcelona,Ropa,4,15.29
2025-01-08,Barcelona,Accesorios,3,34.12
2025-01-08,Barcelona,Calzado,3,68.98
2025-01-08,Barcelona,Calzado,4,66.44
2025-01-08,Valencia,Ropa,2,75.55
2025-01-08,Madrid,Ropa,3,30.27
2025-01-08,Valencia,Calzado,1,64.34
2025-01-08,Valencia,Ropa,4,23.09
2025-01-08,Valencia,Calzado,3,108.32
2025-01-08,Madrid,Ropa,2,80.16
2025-01-08,Barcelona,Calzado,1,112.58
2025-01-08,Bilbao,Calzado,1,33.01
2025-01-08,Valencia,Calzado,4,68.02
2025-01-08,Barcelona,Calzado,4,48.9
2025-01-08,Barcelona,Ropa,4,79.86
2025-01-08,Madrid,Calzado,4,36.12
2025-01-08,Madrid,Calzado,1,66.79
2025-01-08,Madrid,Ropa,3,52.06
2025-01-08,Madrid,Ropa,3,77.27
2025-01-08,Barcelona,Calzado,4,119.4
2025-01-08,Barcelona,Ropa,2,15.62
2025-01-08,Bilbao,Ropa,3,85.6
2025-01-08,Barcelona,Calzado,1,56.93
2025-01-08,Bilbao,Ropa,3,19.08
2025-01-08,Barcelona,Ropa,2,72.91
2025-01-08,Barcelona,Ropa,1,66.62
2025-01-08,Valencia,Accesorios,3,54.36
2025-01-08,Valencia,Calzado,1,78.7
2025-01-08,Barcelona,Ropa,2,66.18
2025-01-08,Madrid,Ropa,1,89.63
2025-01-08,Bilbao,Accesorios,4,39.84
2025-01-09,Barcelona,Ropa,1,70.17
2025-01-09,Madrid,Ropa,4,16.01
2025-01-09,Madrid,Ropa,4,75.35
2025-01-09,Valencia,Calzado,2,92.89
2025-01-09,Bilbao,Calzado,3,89.94
2025-01-09,Barcelona,Ropa,3,29.2
2025-01-09,Barcelona,Accesorios,1,35.21
2025-01-09,Madrid,Calzado,4,117.15
2025-01-09,Valencia,Ropa,1,33.46
2025-01-09,Bilbao,Ropa,4,50.86
2025-01-09,Barcelona,Calzado,1,30.35
2025-01-09,Barcelona,Accesorios,1,36.92
2025-01-09,Barcelona,Ropa,2,71.98
2025-01-09,Barcelona,Ropa,4,72.0
2025-01-09,Barcelona,Calzado,2,48.5
2025-01-09,Barcelona,Accesorios,1,29.71
2025-01-09,Madrid,Calzado,3,35.64
2025-01-09,Bilbao,Ropa,3,75.05
2025-01-09,Barcelona,Ropa,1,75.16
2025-01-09,Barcelona,Ropa,2,26.64
2025-01-09,Madrid,Ropa,2,15.73
2025-01-09,Valencia,Ropa,1,84.03
2025-01-09,Valencia,Ropa,4,30.77
2025-01-09,Madrid,Ropa,1,40.27
2025-01-09,Bilbao,Ropa,2,45.46
2025-01-09,Barcelona,Calzado,4,49.81
2025-01-09,Bilbao,Calzado,2,48.89
2025-01-09,Madrid,Calzado,4,50.38
2025-01-09,Barcelona,Ropa,1,60.97
2025-01-09,Valencia,Calzado,4,54.68
2025-01-09,Valencia,Calzado,4,97.88
2025-01-09,Barcelona,Calzado,4,105.92
2025-01-09,Madrid,Ropa,3,24.64
2025-01-10,Valencia,Accesorios,2,51.96
2025-01-10,Barcelona,Ropa,3,52.18
2025-01-10,Bilbao,Ropa,4,55.56
2025-01-10,Madrid,Calzado,2,62.84
2025-01-10,Bilbao,Calzado,2,78.42
2025-01-10,Valencia,Calzado,2,74.12
2025-01-10,Barcelona,Accesorios,4,13.84
2025-01-10,Valencia,Calzado,2,118.63
2025-01-10,Bilbao,Ropa,3,83.34
2025-01-10,Valencia,Ropa,1,85.36
2025-01-10,Madrid,Ropa,1,42.99
2025-01-10,Madrid,Ropa,1,24.36
2025-01-10,Madrid,Accesorios,4,11.79
2025-01-10,Madrid,Ropa,2,85.28
2025-01-10,Barcelona,Ropa,1,43.29
2025-01-10,Madrid,Calzado,3,66.9
2025-01-10,Madrid,Calzado,2,63.4
2025-01-10,Barcelona,Ropa,2,50.88
2025-01-10,Madrid,Ropa,1,55.09
2025-01-10,Valencia,Ropa,2,70.17
2025-01-10,Madrid,Calzado,4,104.36
2025-01-10,Valencia,Calzado,1,48.37
2025-01-11,Barcelona,Ropa,4,48.28
2025-01-11,Madrid,Ropa,2,56.6
2025-01-11,Barcelona,Ropa,3,32.5
2025-01-11,Barcelona,Accesorios,1,14.93
2025-01-11,Barcelona,Ropa,1,25.66
2025-01-11,Madrid,Calzado,4,49.56
2025-01-11,Madrid,Accesorios,3,42.41
2025-01-11,Barcelona,Ropa,2,40.22
2025-01-11,Madrid,Ropa,4,65.58
2025-01-11,Valencia,Ropa,1,47.3
2025-01-11,Bilbao,Calzado,1,119.09
2025-01-11,Barcelona,Ropa,3,60.06
2025-01-11,Madrid,Calzado,1,38.04
2025-01-11,Barcelona,Accesorios,4,50.05
2025-01-11,Valencia,Ropa,2,39.96
2025-01-11,Bilbao,Calzado,4,63.06
2025-01-11,Madrid,Ropa,3,17.22
2025-01-11,Bilbao,Calzado,2,75.38
2025-01-11,Barcelona,Ropa,1,66.12
2025-01-11,Valencia,Calzado,1,79.72
2025-01-11,Valencia,Ropa,2,78.14
2025-01-12,Madrid,Ropa,1,32.26
2025-01-12,Barcelona,Calzado,3,100.02
2025-01-12,Madrid,Accesorios,4,41.74
2025-01-12,Valencia,Calzado,3,67.72
2025-01-12,Madrid,Calzado,4,108.9
2025-01-12,Madrid,Ropa,1,59.57
2025-01-12,Barcelona,Ropa,2,28.14
2025-01-12,Bilbao,Calzado,4,31.78
2025-01-12,Barcelona,Calzado,3,31.75
2025-01-12,Barcelona,Accesorios,4,51.51
2025-01-12,Madrid,Ropa,3,70.61
2025-01-12,Barcelona,Accesorios,4,58.27
2025-01-12,Barcelona,Ropa,4,34.2
2025-01-12,Bilbao,Accesorios,4,20.36
2025-01-12,Barcelona,Ropa,2,31.21
2025-01-12,Bilbao,Accesorios,1,39.94
2025-01-12,Barcelona,Ropa,4,66.15
2025-01-12,Madrid,Accesorios,4,13.38
2025-01-12,Barcelona,Calzado,1,37.21
2025-01-12,Valencia,Accesorios,2,23.93
2025-01-13,Barcelona,Ropa,1,46.28
2025-01-13,Bilbao,Calzado,1,36.69
2025-01-13,Madrid,Ropa,2,68.45
2025-01-13,Barcelona,Ropa,2,47.67
2025-01-13,Madrid,Ropa,4,62.37
2025-01-13,Valencia,Calzado,4,43.32
2025-01-13,Bilbao,Ropa,4,36.19
2025-01-13,Barcelona,Ropa,3,34.54
2025-01-13,Barcelona,Calzado,3,84.66
2025-01-13,Barcelona,Calzado,4,95.22
2025-01-13,Barcelona,Ropa,2,54.91
2025-01-13,Barcelona,Calzado,3,51.73
2025-01-13,Bilbao,Calzado,4,63.28
2025-01-13,Valencia,Calzado,3,104.85
2025-01-13,Valencia,Calzado,2,72.08
2025-01-13,Madrid,Calzado,1,114.08
2025-01-13,Madrid,Calzado,1,42.55
2025-01-13,Barcelona,Ropa,2,53.98
2025-01-13,Valencia,Ropa,3,86.74
2025-01-13,Barcelona,Calzado,3,78.64
2025-01-13,Valencia,Ropa,4,27.47
2025-01-13,Valencia,Ropa,1,42.35
2025-01-13,Bilbao,Accesorios,1,35.19
2025-01-13,Madrid,Ropa,2,65.39
2025-01-13,Barcelona,Calzado,3,69.38
2025-01-13,Valencia,Accesorios,1,16.02
2025-01-13,Madrid,Accesorios,3,25.94
2025-01-13,Bilbao,Accesorios,3,16.08
2025-01-13,Barcelona,Calzado,1,92.13
2025-01-13,Madrid,Ropa,3,70.95
2025-01-14,Barcelona,Calzado,2,117.91
2025-01-14,Bilbao,Calzado,4,79.75
2025-01-14,Madrid,Ropa,1,34.66
2025-01-14,Madrid,Ropa,1,54.38
2025-01-14,Valencia,Ropa,1,55.59
2025-01-14,Madrid,Accesorios,3,56.16
2025-01-14,Valencia,Ropa,4,65.24
2025-01-14,Bilbao,Ropa,4,86.21
2025-01-14,Barcelona,Accesorios,3,26.53
2025-01-14,Valencia,Ropa,3,26.61
2025-01-14,Madrid,Ropa,1,47.22
2025-01-14,Madrid,Ropa,1,28.1
2025-01-14,Bilbao,Calzado,2,94.9
2025-01-14,Madrid,Ropa,2,47.16
2025-01-14,Bilbao,Calzado,2,58.2
2025-01-14,Madrid,Ropa,4,28.12
2025-01-14,Barcelona,Ropa,3,55.97
2025-01-14,Barcelona,Ropa,3,72.99
2025-01-14,Barcelona,Calzado,4,105.46
2025-01-14,Valencia,Calzado,3,68.69
2025-01-14,Bilbao,Calzado,1,95.92
2025-01-14,Barcelona,Accesorios,1,56.27
2025-01-14,Madrid,Calzado,1,92.17
2025-01-14,Madrid,Calzado,2,89.82
2025-01-14,Valencia,Calzado,2,81.76
2025-01-14,Barcelona,Calzado,1,68.21
2025-01-14,Barcelona,Ropa,2,71.5
2025-01-14,Barcelona,Accesorios,4,35.0
2025-01-14,Barcelona,Accesorios,3,39.37
2025-01-15,Bilbao,Calzado,3,69.74
2025-01-15,Barcelona,Ropa,2,32.11
2025-01-15,Madrid,Ropa,2,32.2
2025-01-15,Valencia,Calzado,1,107.52
2025-01-15,Barcelona,Calzado,1,35.18
2025-01-15,Barcelona,Calzado,4,103.88
2025-01-15,Madrid,Ropa,3,73.19
2025-01-15,Bilbao,Accesorios,3,56.27
2025-01-15,Valencia,Ropa,1,80.82
2025-01-15,Madrid,Ropa,4,21.41
2025-01-15,Barcelona,Accesorios,4,9.68
2025-01-15,Bilbao,Ropa,2,77.33
2025-01-15,Barcelona,Ropa,3,67.42
2025-01-15,Barcelona,Ropa,2,83.95
2025-01-15,Barcelona,Accesorios,2,13.36
2025-01-15,Barcelona,Ropa,4,29.22
2025-01-15,Valencia,Calzado,4,97.07
2025-01-15,Madrid,Accesorios,1,53.95
2025-01-15,Barcelona,Ropa,4,17.97
2025-01-15,Bilbao,Ropa,3,47.04
2025-01-15,Barcelona,Ropa,3,62.86
2025-01-15,Madrid,Ropa,1,53.56
2025-01-15,Bilbao,Ropa,4,75.89
2025-01-16,Valencia,Calzado,3,41.38
2025-01-16,Valencia,Ropa,4,57.44
2025-01-16,Valencia,Ropa,3,60.96
2025-01-16,Madrid,Ropa,3,89.91
2025-01-16,Valencia,Ropa,1,80.27
2025-01-16,Barcelona,Calzado,4,50.68
2025-01-16,Bilbao,Ropa,4,21.18
2025-01-16,Barcelona,Ropa,1,37.57
2025-01-16,Valencia,Ropa,4,71.48
2025-01-16,Madrid,Ropa,3,63.65
2025-01-16,Barcelona,Accesorios,2,19.08
2025-01-16,Barcelona,Calzado,1,106.12
2025-01-16,Barcelona,Calzado,2,110.97
2025-01-16,Madrid,Ropa,3,48.17
2025-01-16,Barcelona,Ropa,4,87.22
2025-01-16,Barcelona,Ropa,1,42.72
2025-01-16,Valencia,Calzado,3,41.88
2025-01-16,Barcelona,Calzado,1,100.25
2025-01-16,Madrid,Ropa,2,83.98
2025-01-16,Valencia,Calzado,1,109.97
2025-01-16,Barcelona,Calzado,4,34.86
2025-01-16,Madrid,Calzado,4,52.11
2025-01-16,Barcelona,Ropa,2,75.68
2025-01-16,Bilbao,Ropa,4,75.74
2025-01-16,Madrid,Ropa,1,55.42
2025-01-16,Madrid,Calzado,3,41.86
2025-01-16,Valencia,Calzado,4,34.64
2025-01-16,Valencia,Ropa,3,43.32
2025-01-16,Bilbao,Ropa,4,28.98
2025-01-16,Valencia,Ropa,1,27.34
2025-01-17,Barcelona,Ropa,3,39.63
2025-01-17,Madrid,Ropa,4,32.73
2025-01-17,Barcelona,Accesorios,1,15.46
2025-01-17,Barcelona,Ropa,1,88.4
2025-01-17,Bilbao,Ropa,4,25.28
2025-01-17,Madrid,Ropa,2,21.13
2025-01-17,Madrid,Accesorios,2,17.54
2025-01-17,Barcelona,Calzado,4,42.65
2025-01-17,Valencia,Calzado,2,39.98
2025-01-17,Barcelona,Ropa,4,17.68
2025-01-17,Madrid,Ropa,2,31.12
2025-01-17,Madrid,Ropa,2,35.18
2025-01-17,Madrid,Ropa,3,62.92
2025-01-17,Barcelona,Ropa,1,53.55
2025-01-17,Bilbao,Calzado,4,85.38
2025-01-17,Madrid,Ropa,2,20.04
2025-01-17,Madrid,Calzado,4,43.29
2025-01-17,Valencia,Ropa,3,64.72
2025-01-17,Madrid,Ropa,3,38.28
2025-01-17,Madrid,Accesorios,2,13.66
2025-01-17,Barcelona,Ropa,3,33.51
2025-01-17,Bilbao,Ropa,3,20.17
2025-01-17,Barcelona,Ropa,1,51.05
2025-01-17,Bilbao,Ropa,4,49.62
2025-01-18,Madrid,Calzado,3,54.9
2025-01-18,Valencia,Ropa,4,45.19
2025-01-18,Valencia,Ropa,3,48.86
2025-01-18,Valencia,Ropa,4,35.0
2025-01-18,Valencia,Calzado,2,50.42
2025-01-18,Bilbao,Calzado,3,107.06
2025-01-18,Madrid,Ropa,4,36.57
2025-01-18,Barcelona,Calzado,1,89.71
2025-01-18,Barcelona,Ropa,4,67.64
2025-01-18,Barcelona,Calzado,1,73.45
2025-01-18,Barcelona,Accesorios,4,15.6
2025-01-18,Valencia,Calzado,1,44.35
2025-01-18,Barcelona,Accesorios,2,32.75
2025-01-18,Madrid,Ropa,4,38.05
2025-01-18,Madrid,Calzado,4,104.03
2025-01-18,Barcelona,Calzado,2,96.42
2025-01-18,Madrid,Accesorios,1,47.89
2025-01-18,Barcelona,Ropa,4,73.09
2025-01-18,Bilbao,Ropa,3,31.34
2025-01-18,Valencia,Accesorios,3,46.9
2025-01-18,Barcelona,Calzado,3,74.85
2025-01-18,Bilbao,Ropa,4,44.41
2025-01-18,Madrid,Calzado,4,74.33
2025-01-19,Madrid,Ropa,1,82.19
2025-01-19,Madrid,Ropa,1,65.34
2025-01-19,Madrid,Ropa,1,81.04
2025-01-19,Madrid,Ropa,2,62.97
2025-01-19,Valencia,Ropa,4,22.12
2025-01-19,Valencia,Ropa,4,74.13
2025-01-19,Madrid,Ropa,3,46.6
2025-01-19,Madrid,Ropa,4,37.65
2025-01-19,Madrid,Calzado,4,83.61
2025-01-19,Barcelona,Calzado,4,33.82
2025-01-19,Barcelona,Ropa,2,64.38
2025-01-19,Barcelona,Ropa,4,42.66
2025-01-19,Barcelona,Accesorios,1,13.49
2025-01-19,Barcelona,Calzado,1,80.91
2025-01-19,Valencia,Calzado,1,31.71
2025-01-19,Barcelona,Ropa,1,19.0
2025-01-19,Madrid,Ropa,3,29.38
2025-01-19,Valencia,Calzado,2,109.74
2025-01-19,Bilbao,Ropa,4,48.21
2025-01-19,Barcelona,Accesorios,2,54.29
2025-01-19,Madrid,Calzado,2,33.41
2025-01-19,Bilbao,Calzado,4,77.15
2025-01-19,Madrid,Calzado,2,50.13
2025-01-19,Barcelona,Ropa,2,75.89
2025-01-19,Bilbao,Ropa,1,53.24
2025-01-20,Bilbao,Calzado,1,37.74
2025-01-20,Barcelona,Accesorios,1,58.9
2025-01-20,Barcelona,Ropa,2,58.78
2025-01-20,Barcelona,Calzado,1,80.61
2025-01-20,Barcelona,Ropa,3,20.88
2025-01-20,Madrid,Calzado,1,119.86
2025-01-20,Madrid,Calzado,2,66.86
2025-01-20,Madrid,Ropa,2,57.3
2025-01-20,Barcelona,Ropa,4,26.37
2025-01-20,Madrid,Ropa,4,66.71
2025-01-20,Valencia,Ropa,1,21.77
2025-01-20,Bilbao,Ropa,2,62.63
2025-01-20,Barcelona,Ropa,1,41.52
2025-01-20,Barcelona,Ropa,2,54.5
2025-01-20,Valencia,Ropa,4,70.16
2025-01-20,Valencia,Accesorios,4,11.55
2025-01-20,Madrid,Ropa,1,81.72
2025-01-20,Valencia,Accesorios,4,32.61
2025-01-20,Valencia,Ropa,3,69.23
2025-01-20,Bilbao,Ropa,2,38.4
2025-01-20,Barcelona,Ropa,4,66.08
2025-01-20,Barcelona,Ropa,1,85.37
2025-01-20,Barcelona,Calzado,2,87.93
2025-01-20,Madrid,Calzado,3,39.55
2025-01-20,Bilbao,Calzado,4,41.13
2025-01-21,Barcelona,Accesorios,2,35.9
2025-01-21,Bilbao,Ropa,4,17.27
2025-01-21,Barcelona,Ropa,2,28.89
2025-01-21,Barcelona,Ropa,2,49.65
2025-01-21,Madrid,Ropa,3,88.24
2025-01-21,Barcelona,Ropa,1,17.44
2025-01-21,Valencia,Ropa,1,22.45
2025-01-21,Madrid,Accesorios,2,34.32
2025-01-21,Bilbao,Calzado,4,58.62
2025-01-21,Barcelona,Calzado,1,88.58
2025-01-21,Barcelona,Ropa,4,17.79
2025-01-21,Barcelona,Calzado,2,72.14
2025-01-21,Barcelona,Calzado,2,110.37
2025-01-21,Valencia,Ropa,4,47.25
2025-01-21,Valencia,Calzado,4,81.81
2025-01-21,Madrid,Accesorios,1,17.07
2025-01-21,Bilbao,Calzado,4,60.32
2025-01-21,Barcelona,Ropa,1,27.51
2025-01-21,Valencia,Ropa,2,42.0
2025-01-21,Barcelona,Accesorios,1,53.53
2025-01-21,Madrid,Calzado,4,101.99
2025-01-21,Barcelona,Calzado,2,117.4
2025-01-21,Madrid,Ropa,2,38.3
2025-01-21,Madrid,Calzado,2,114.76
2025-01-21,Barcelona,Ropa,4,66.1
2025-01-21,Barcelona,Ropa,2,51.46
2025-01-22,Madrid,Calzado,1,77.46
2025-01-22,Madrid,Ropa,3,71.71
2025-01-22,Valencia,Calzado,3,47.98
2025-01-22,Bilbao,Calzado,2,70.24
2025-01-22,Barcelona,Ropa,1,85.31
2025-01-22,Barcelona,Ropa,4,41.54
2025-01-22,Barcelona,Ropa,3,83.9
2025-01-22,Valencia,Ropa,3,48.08
2025-01-22,Valencia,Ropa,3,80.8
2025-01-22,Barcelona,Ropa,3,21.39
2025-01-22,Barcelona,Accesorios,2,8.45
2025-01-22,Bilbao,Calzado,4,43.07
2025-01-22,Barcelona,Ropa,3,58.69
2025-01-22,Barcelona,Accesorios,2,44.37
2025-01-22,Barcelona,Accesorios,1,14.09
2025-01-22,Bilbao,Calzado,1,35.28
2025-01-22,Barcelona,Ropa,1,17.98
2025-01-22,Barcelona,Calzado,1,99.93
2025-01-23,Madrid,Ropa,1,78.22
2025-01-23,Barcelona,Ropa,4,24.93
2025-01-23,Valencia,Calzado,4,101.36
2025-01-23,Barcelona,Ropa,3,58.32
2025-01-23,Madrid,Ropa,3,82.51
2025-01-23,Valencia,Calzado,2,40.18
2025-01-23,Valencia,Ropa,3,74.55
2025-01-23,Valencia,Ropa,3,71.53
2025-01-23,Bilbao,Accesorios,1,42.52
2025-01-23,Bilbao,Calzado,4,51.57
2025-01-23,Valencia,Ropa,3,74.92
2025-01-23,Barcelona,Calzado,2,82.23
2025-01-23,Valencia,Calzado,4,38.72
2025-01-23,Bilbao,Calzado,2,47.11
2025-01-23,Valencia,Ropa,1,38.96
2025-01-23,Barcelona,Calzado,3,47.21
2025-01-23,Madrid,Ropa,3,44.63
2025-01-23,Barcelona,Ropa,2,26.26
2025-01-23,Barcelona,Calzado,1,111.7
2025-01-23,Barcelona,Ropa,2,25.63
2025-01-23,Barcelona,Ropa,1,75.81
2025-01-23,Valencia,Ropa,3,37.32
2025-01-23,Madrid,Calzado,3,77.93
2025-01-23,Barcelona,Calzado,4,62.81
2025-01-23,Valencia,Ropa,2,21.46
2025-01-23,Barcelona,Calzado,2,105.5
2025-01-23,Madrid,Calzado,2,83.41
2025-01-23,Valencia,Calzado,4,93.82
2025-01-23,Valencia,Calzado,3,97.73
2025-01-23,Valencia,Accesorios,1,32.86
2025-01-23,Barcelona,Ropa,2,61.55
2025-01-24,Barcelona,Calzado,3,118.86
